Property_ID,Location_City,Location_District,Listing_Date,Property_Type,Square_Footage,Bedrooms,Bathrooms,Year_Built,Build_Quality_Rating,Nearby_Amenities_Score,Market_Trend_Index,Sale_Price_GBP,Agent_Commission_Percentage,Days_On_Market,Transaction_Type,Revenue_Activity,Revenue_GBP_Monthly,Price_Boxcox
BG-GUI-20240404-00001,Guildford,Park Barn,2024-04-04,Apartment,535,4,2,1991,1,2.0,1.08,397091.4,2.07,49,Sale,Sale Commission,684.98,389.1712357008985
BG-GUI-20200820-00002,Guildford,Stoughton,2020-08-20,Townhouse,3760,2,1,2006,1,7.0,0.85,1708043.02,2.3,105,Lease,Airbnb/Short Let,118517.69,689.5357648441542
BG-LON-20220707-00003,London,Croydon,2022-07-07,Apartment,3038,1,1,1966,6,7.0,1.1,1951322.16,2.38,35,Sale,Sale Commission,3870.12,726.4380628300579
BG-REA-20200313-00004,Reading,Kennet Island,2020-03-13,Detached House,2943,3,1,1977,4,6.0,0.93,1695932.42,1.94,74,Lease,Airbnb/Short Let,111895.23,687.6172603762126
BG-REA-20240117-00005,Reading,Kennet Island,2024-01-17,Detached House,3284,3,2,1976,2,1.0,1.09,1478518.07,1.88,111,Sale,Sale Commission,2316.34,651.6498620795039
BG-LON-20180707-00006,London,Brixton,2018-07-07,Detached House,3487,5,5,1959,8,2.0,1.0,1499237.27,2.06,167,Sale,Sale Commission,2573.69,655.211139112943
BG-REA-20210818-00007,Reading,Earley,2021-08-18,Townhouse,3874,1,1,1967,4,4.0,1.13,2315188.34,2.64,27,Sale,Sale Commission,5093.41,776.7225848584108
BG-LON-20180821-00008,London,Shoreditch,2018-08-21,Apartment,2080,1,1,2012,4,,0.98,704303.12,1.44,101,Sale,Sale Commission,845.16,487.3034785328221
BG-GUI-20200211-00009,Guildford,Stoughton,2020-02-11,Apartment,736,5,1,1953,9,4.0,1.02,507939.7,1.82,133,Sale,Sale Commission,770.38,428.6607624952289
BG-GUI-20230417-00010,Guildford,Onslow Village,2023-04-17,Townhouse,807,2,1,2023,5,5.0,1.15,591900.72,2.2,173,Lease,Airbnb/Short Let,25752.57,455.17848151766907
BG-LON-20190423-00011,London,Notting Hill,2019-04-23,Townhouse,944,3,1,1991,2,3.0,0.98,608819.8,2.4,178,Sale,Sale Commission,1217.64,460.2389402031375
BG-LON-20210329-00012,London,Hackney,2021-03-29,Apartment,1052,1,1,1961,6,8.0,0.89,488081.91,2.21,130,Lease,Airbnb/Short Let,31551.54,422.0039706772085
